person name ID	corporate indicator	index order	name entry element	name scope notes	name second element	name third element	natural order	name query indicator	standardised entry element	standardised second element
1	TRUE		Bury St Edmunds		Abbey			FALSE	bury st edmunds	abbey
2	FALSE		William I			king of England		FALSE	william i	
3	FALSE		Ralph the Staller			earl of East Anglia		FALSE	ralph the staller	
5	FALSE		Baldwin			abbot of Bury		FALSE	baldwin	
6	FALSE		Northman			sheriff of Suffolk		FALSE	northman	
7	TRUE		Abbotsbury Abbey					FALSE	abbotsbury abbey	
8	FALSE		Ordgar		of Southwark	temp. Stephen		FALSE	ordgar	of southwark
9	FALSE		Emma			queen		FALSE	emma	
10	FALSE		Herman			bishop of Sherborne		FALSE	herman	
11	FALSE		Hugh		son of Grip	sheriff of Dorset		FALSE	hugh	son of grip
12	FALSE		Edward			king of England		FALSE	edward	
13	FALSE		Osmund			bishop of Salisbury		FALSE	osmund	
14	TRUE		Abingdon Abbey					FALSE	abingdon abbey	
15	FALSE		Lanfranc			archbishop of Canterbury		FALSE	lanfranc	
16	FALSE		Robert		de Oilly	"constable, died 1093"		FALSE	robert	de oilly
17	FALSE		Roger		de Pîtres			FALSE	roger	de pîtres
19	FALSE		Thurkill		of Arden			FALSE	thurkill	of arden
20	FALSE		Eudo			dapifer		FALSE	eudo	
21	FALSE		Walter		son of Othere	"castellan of Windsor, forester"		FALSE	walter	son of othere
22	FALSE		Alan			"Count of Brittany, temp.William I"		FALSE	alan	
23	FALSE		Thomas I			archbishop of York		FALSE	thomas i	
24	FALSE		Erneis			sheriff of Yorkshire		FALSE	erneis	
25	TRUE		Angers		Abbey of Saint-Nicholas			FALSE	angers	abbey of saint-nicholas
26	FALSE		Ivo		Taillebois			FALSE	ivo	taillebois
27	FALSE		Matilda I		of Flanders	queen of England		FALSE	matilda i	of flanders
28	FALSE		William		son of Theodoric			FALSE	william	son of theodoric
29	FALSE		Turold					FALSE	turold	
30	FALSE		Natalis			abbot of Angers		FALSE	natalis	
31	FALSE		Remigius			bishop of Lincoln		FALSE	remigius	
32	FALSE		William		de Saint-Calais	bishop of Durham		FALSE	william	de saint-calais
33	FALSE		Hugh		son of Baldric	sheriff of Yorkshire		FALSE	hugh	son of baldric
34	FALSE		Norman		crassus			FALSE	norman	crassus
35	FALSE		John			knight of the abbot of Angers		FALSE	john	
36	FALSE		Nigel			knight		FALSE	nigel	
37	FALSE		Ivo			knight		FALSE	ivo	
38	FALSE		Hermerus			priest		FALSE	hermerus	
39	TRUE		Barking Abbey					FALSE	barking abbey	
40	FALSE		A.		(?Ælfgifu)	abbess of Barking		FALSE	a.	(?ælfgifu)
41	TRUE		Battle		Abbey			FALSE	battle	abbey
44	FALSE		Stigand			bishop of Chichester		FALSE	stigand	
45	FALSE		Gausbertus			abbot of Battle		FALSE	gausbertus	
46	FALSE		Peter			bishop of Chester		FALSE	peter	
47	FALSE		William	"WI/17 names him earl in 1072 x 1078, but text is forged."	de Warenne I	earl of Surrey		FALSE	william	de warenne i
48	FALSE		Bernard		de Neufmarché			FALSE	bernard	de neufmarché
49	FALSE		Robert			count of Eu		FALSE	robert	
50	FALSE		Hamo			sheriff of Kent		FALSE	hamo	
51	FALSE		Hugh			dapifer		FALSE	hugh	
52	FALSE		Robert		son of Godbert			FALSE	robert	son of godbert
54	FALSE		R.			knight		FALSE	r.	
55	FALSE		Walter			"sheriff, perhaps of Sussex"		FALSE	walter	
56	FALSE		Walkelin			"bishop of Winchester, 1070-1198"		FALSE	walkelin	
57	FALSE		William			count of Eu		FALSE	william	
58	FALSE		Osbern		son of Hugh			FALSE	osbern	son of hugh
59	FALSE		Hugh			earl of Chester		FALSE	hugh	
60	FALSE		Osbern			bishop of Exeter		FALSE	osbern	
61	FALSE		Roger		de Montgomery	earl of Shrewsbury		FALSE	roger	de montgomery
62	FALSE		William		de Briouze			FALSE	william	de briouze
63	FALSE		Maurice			bishop of London		FALSE	maurice	
64	FALSE		Gundulf			bishop of Rochester		FALSE	gundulf	
65	FALSE		Wulfstan			bishop of Worcester		FALSE	wulfstan	
66	TRUE		Bayeux Cathedral					FALSE	bayeux cathedral	
67	FALSE		Odo			bishop of Bayeux		FALSE	odo	
68	FALSE		Herbert		de Agnellis			FALSE	herbert	de agnellis
69	FALSE		Ralph		de Conches			FALSE	ralph	de conches
70	FALSE		Richard		son of Turstan	Guz		FALSE	richard	son of turstan
71	FALSE		William		Caritas			FALSE	william	caritas
72	FALSE		Fulk		son of Gerard Budel			FALSE	fulk	son of gerard budel
73	FALSE		Ralph		de Oilly			FALSE	ralph	de oilly
74	FALSE		Philip			king of France		FALSE	philip	
75	FALSE		John			archbishop of Rouen		FALSE	john	
76	FALSE		Hugh			bishop of Lisieux		FALSE	hugh	
77	FALSE		Roger		de Beaumont			FALSE	roger	de beaumont
78	FALSE		Robert		Curthose	duke of Normandy		FALSE	robert	curthose
79	FALSE		William		Rufus			FALSE	william	rufus
80	FALSE		Robert			count of Mortain		FALSE	robert	
81	FALSE		Eudo		Haldub	vicomte of the Cotentin		FALSE	eudo	haldub
82	FALSE		Ralph		Suhardus			FALSE	ralph	suhardus
83	FALSE		Alured		Malbedign			FALSE	alured	malbedign
84	FALSE		Ranulf		de Lingairus			FALSE	ranulf	de lingairus
85	FALSE		Corbinus		de Agnellis			FALSE	corbinus	de agnellis
86	FALSE		Wimund		son of Ralph	of Noyers		FALSE	wimund	son of ralph
87	FALSE		Hugh		de Dorsi Raie			FALSE	hugh	de dorsi raie
88	FALSE		Grimoldus					FALSE	grimoldus	
89	FALSE		Gilbert			bishop of Lisieux		FALSE	gilbert	
90	FALSE		Richard			vicomte of Avranches		FALSE	richard	
91	FALSE		Nicholas			abbot of St Ouen		FALSE	nicholas	
92	FALSE		Girbertus			abbot of Saint Wandrille		FALSE	girbertus	
93	FALSE		Durand			abbot of Troarn		FALSE	durand	
94	FALSE		Vitalis			abbot of Bernay (Westminster)		FALSE	vitalis	
95	FALSE		Osbert		Giffard			FALSE	osbert	giffard
96	FALSE		Richard		de Courcy			FALSE	richard	de courcy
97	FALSE		Reginald		de Nonant			FALSE	reginald	de nonant
98	FALSE		Ralph		de Montpincon			FALSE	ralph	de montpincon
99	FALSE		Robert		son of Hamo dapifer			FALSE	robert	son of hamo dapifer
100	FALSE		Baldwin of Exeter		earl Gilbert's son	sheriff of Devon		FALSE	baldwin of exeter	earl gilbert's son
101	FALSE		William		Paganellus			FALSE	william	paganellus
102	FALSE		Gervase		of Domfront			FALSE	gervase	of domfront
103	FALSE		Erneis		Taisson			FALSE	erneis	taisson
104	TRUE		Beauvais		Saint-Quentin			FALSE	beauvais	saint-quentin
105	FALSE		Guy			bishop of Beauvais		FALSE	guy	
106	FALSE		Robert			dapifer of the [French] king		FALSE	robert	
107	FALSE		Waleran			chamberlain [of France]		FALSE	waleran	
108	FALSE		Hervey			buticularius		FALSE	hervey	
109	FALSE		Adam			constable [of France]		FALSE	adam	
110	FALSE		"Anselm,"		abbot of Bec	archbishop of Canterbury		FALSE	"anselm,"	abbot of bec
111	FALSE		Ralph			treasurer of Beauvais		FALSE	ralph	
112	FALSE		Hugh			"count, brother of the French king"		FALSE	hugh	
113	FALSE		Alulfus			monk		FALSE	alulfus	
114	FALSE		Ivo			count of Beaumont-sur-Oise		FALSE	ivo	
115	FALSE		Aubrey			de Coucy-le-Chateau		FALSE	aubrey	
116	FALSE		Geoffrey		de Chaumont	-sur-Loire		FALSE	geoffrey	de chaumont
117	FALSE		Lanscelinus			casatus of Beauvais		FALSE	lanscelinus	
118	FALSE		Ralph			casatus of Beauvais		FALSE	ralph	
119	FALSE		Ansold		of Meaux			FALSE	ansold	of meaux
120	FALSE		Ascelinus		de Bulles			FALSE	ascelinus	de bulles
121	FALSE		Manasses			archbishop of Reims		FALSE	manasses	
122	FALSE		Thetboldus			bishop of Soissons		FALSE	thetboldus	
123	FALSE		Gerard			bishop of Cambrai		FALSE	gerard	
124	FALSE		Roger			bishop of Chalons-sur-Marne		FALSE	roger	
125	FALSE		Ratbodus			bishop of Noyon		FALSE	ratbodus	
126	FALSE		Ivo			bishop of Senlis		FALSE	ivo	
127	FALSE		Hubert			bishop of Thérouanne		FALSE	hubert	
128	FALSE		Godfrey			chancellor of Reims		FALSE	godfrey	
129	FALSE		Warin			archdeacon of Beauvais		FALSE	warin	
130	FALSE		Arnulf			archdeacon of Beauvais		FALSE	arnulf	
131	FALSE		Gilbert			deputy chancellor  of France		FALSE	gilbert	
132	TRUE		Beverley		St John's			FALSE	beverley	saint john's
133	FALSE		Morcar			earl of Northumbria		FALSE	morcar	
134	FALSE		Gamel		son of Osbert	sheriff of Yorkshire		FALSE	gamel	son of osbert
135	FALSE		Ealdred			archbishop of York		FALSE	ealdred	
136	TRUE		Burton-upon-Trent		Abbey			FALSE	burton-upon-trent	abbey
137	FALSE		Henry		de Ferrers			FALSE	henry	de ferrers
138	FALSE		Harding			sheriff of Derbyshire		FALSE	harding	
140	FALSE		Ailwin			clerk of the king		FALSE	ailwin	
141	FALSE		Æthelmær			bishop of Elmham		FALSE	æthelmær	
142	FALSE		Roger		Bigod			FALSE	roger	bigod
143	FALSE		Arfastus			bishop of Thetford		FALSE	arfastus	
144	FALSE		R.		Malet			FALSE	r.	malet
145	FALSE		Werno		de Poix			FALSE	werno	de poix
147	FALSE		Hugh		de Montfort			FALSE	hugh	de montfort
148	FALSE		Richard		son of earl	Gilbert		FALSE	richard	son of earl
